Client ID,Best Local Accuracy,Best Local Accuracy Top-5,Best Global Accuracy,Best Global Accuracy Top-5,Best Global Model Train,Best Global Model Test,Best Global Model Train,Best Global Model Test,Hyperparameters
0,0.8134403209628887,0.995987963891675,0.5054,0.7728,0.8113196222791293,0.7726,0.9852952944942381,0.9839,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.1_batch_size=64_opt=adam_dataset=cifar10_2024-03-20-1857-17', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.9006024096385542,0.9979919678714859,0.5361,0.7392,0.8113196222791293,0.7726,0.9852952944942381,0.9839,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.1_batch_size=64_opt=adam_dataset=cifar10_2024-03-20-1857-17', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.8294884653961886,0.9989969909729187,0.5225,0.7781,0.8169014084507042,0.7781,0.9856954225352113,0.9843,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.1_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0143-15', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.8895582329317269,0.998995983935743,0.5348,0.7477,0.8169014084507042,0.7781,0.9856954225352113,0.9843,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.1_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0143-15', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.6111111111111112,0.8611111111111112,0.2975,0.4807,0.6005921895006402,0.4884,0.8141005121638925,0.7558,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0202-20', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.5,0.8333333333333334,0.2919,0.471,0.6005921895006402,0.4884,0.8141005121638925,0.7558,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.1, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.1_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0202-20', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.7811244979919679,0.9889558232931727,0.687,0.9107,0.8736595710627401,0.8352,0.9903969270166453,0.9889,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.5, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.5_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0221-43', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.8645937813440321,0.9939819458375125,0.7161,0.891,0.8736595710627401,0.8352,0.9903969270166453,0.9889,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.5, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.5_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0221-43', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.5517241379310345,0.8103448275862069,0.3534,0.5974,0.6188180217669654,0.4969,0.8190821062740077,0.7588,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.5, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.5_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0242-18', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.5178571428571429,0.8035714285714286,0.3633,0.6318,0.6188180217669654,0.4969,0.8190821062740077,0.7588,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 0.5, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=0.5_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0242-18', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.7981927710843374,0.9839357429718876,0.7557,0.9796,0.8792213508322664,0.8477,0.9916573303457106,0.9914,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1.0, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1.0_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0301-41', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.8473895582329317,0.9909638554216867,0.7572,0.9744,0.8792213508322664,0.8477,0.9916573303457106,0.9914,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1.0, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1.0_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0301-41', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.5471698113207547,0.7924528301886793,0.3438,0.6386,0.612976152368758,0.4895,0.8128401088348272,0.7463,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1.0, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1.0_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0321-57', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.5789473684210527,0.7543859649122807,0.3605,0.6075,0.612976152368758,0.4895,0.8128401088348272,0.7463,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1.0, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1.0_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0321-57', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.7911646586345381,0.9869477911646586,0.795,0.9857,0.8941061139564661,0.8563,0.9931778169014085,0.9922,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0340-51', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
1,0.8032128514056225,0.9839357429718876,0.7947,0.9856,0.8941061139564661,0.8563,0.9931778169014085,0.9922,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1e+200_batch_size=64_opt=adam_dataset=cifar10_2024-03-21-0340-51', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
0,0.5098039215686274,0.8431372549019608,0.4072,0.6994,0.6277208706786171,0.5103,0.8244438220230473,0.7689,"{'epochs': 5, 'comm_round': 50, 'sample_fraction': 1.0, 'alpha': 1e+200, 'dataset': 'cifar100', 'datadir': '../data/', 'partition': 'subsample', 'alg': 'fedavg', 'model': 'resnet-18', 'n_parties': 2, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=fedavg_partition=subsample_lr=0.001_epochs=5_num_users=2_beta=1e+200_batch_size=64_opt=adam_dataset=cifar100_2024-03-21-0401-32', 'seed': 1, 'device': 'cuda:0', 'accuracies_file': 'logs/split_experiment_2.csv', 'multiprocessing': 0}"
