Client ID,Best Local Accuracy,Best Local Accuracy Top-5,Best Global Accuracy,Best Global Accuracy Top-5,Best Global Model Train,Best Global Model Test,Best Global Model Train,Best Global Model Test,Hyperparameters
0,0.0,0.0,0.0,0.0,0.11597711267605634,0.1175,0.500060019206146,0.5,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-38', 'seed': 123, 'device': 'cuda:2', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
1,0.0,0.0,0.0,0.0,0.11597711267605634,0.1175,0.500060019206146,0.5,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-38', 'seed': 123, 'device': 'cuda:2', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
2,0.0,0.0,0.0,0.0,0.11597711267605634,0.1175,0.500060019206146,0.5,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-38', 'seed': 123, 'device': 'cuda:2', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
3,0.0,0.0,0.0,0.0,0.11597711267605634,0.1175,0.500060019206146,0.5,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-38', 'seed': 123, 'device': 'cuda:2', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
4,0.0,0.0,0.0,0.0,0.11597711267605634,0.1175,0.500060019206146,0.5,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-38', 'seed': 123, 'device': 'cuda:2', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
0,0.0,0.0,0.0,0.0,0.13692381562099873,0.1555,0.500060019206146,0.5001,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-49', 'seed': 123, 'device': 'cuda:3', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
1,0.0,0.0,0.0,0.0,0.13692381562099873,0.1555,0.500060019206146,0.5001,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-49', 'seed': 123, 'device': 'cuda:3', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
2,0.0,0.0,0.0,0.0,0.13692381562099873,0.1555,0.500060019206146,0.5001,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-49', 'seed': 123, 'device': 'cuda:3', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
3,0.0,0.0,0.0,0.0,0.13692381562099873,0.1555,0.500060019206146,0.5001,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-49', 'seed': 123, 'device': 'cuda:3', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
4,0.0,0.0,0.0,0.0,0.13692381562099873,0.1555,0.500060019206146,0.5001,"{'epochs': 5, 'comm_round': 100, 'sample_fraction': 1.0, 'alpha': 0.01, 'dataset': 'cifar10', 'datadir': '../data/', 'partition': 'iid', 'alg': 'sflv1', 'model': 'resnet-18', 'split_layer': 1, 'n_parties': 5, 'lr': 0.001, 'mu': 1, 'std_coeff': 2.5, 'unif_coeff': 0.5, 'batch_size': 64, 'load_first_net': 1, 'pool_option': 'FIFO', 'model_buffer_size': 1, 'optimizer': 'adam', 'simp_width': 1, 'out_dim': 256, 'reg': 0.0005, 'temperature': 0.5, 'logdir': './', 'log_file_name': 'logs/experiment_log-alg=sflv1_partition=iid_lr=0.001_epochs=5_num_users=5_beta=0.01_batch_size=64_opt=adam_dataset=cifar10_2024-04-07-2046-49', 'seed': 123, 'device': 'cuda:3', 'accuracies_file': 'logs/split_resnet_18.csv', 'dont_skip': False, 'multiprocessing': 0}"
